Al,Disc 1,Disc 2,Disc 3,Disc 4,Disc 5,Disc 6,Disc 7,Disc 8
1,2,"0,8","8,8","6,3","9,3","4,3","3,5",2
2,"6,3","5,3","1,3",6,5,"7,2","0,5","3,4"
3,1,"5,7","4,9",6,"7,5",6,"1,5","1,3"
4,"3,5",6,"0,3","8,8","7,8","8,5","7,9","0,3"
5,6,"7,6","7,8",7,8,"6,8","4,5",5
6,"2,8","4,9","8,5","7,7",7,"3,3",2,"5,5"
7,1,6,1,"7,1","8,3","9,9",6,"1,8"
8,"6,5","8,2","7,8","3,8",10,"9,2","3,5",6
9,"8,8","6,6","8,3","8,3",8,"7,7","2,3","6,5"
10,6,"7,6","7,7","0,9",7,9,"8,4",7
11,"6,8","6,6","1,8",6,"6,5",6,"6,5",4
12,6,"8,6","6,3",1,"9,3","7,1","7,3","6,3"
13,"5,8","5,5","4,8","2,8",9,"8,5","6,8","7,3"
14,"7,3",6,"6,7","0,5",10,"8,6","2,5","2,8"
15,"6,8",7,6,6,"8,9","9,1","4,3","6,3"
16,"2,3",6,6,"2,3","9,3","7,2","7,5",1
17,5,"6,4","1,3","2,3","9,6","9,9","0,8","1,9"
18,6,"7,6","7,8","8,8","8,8","7,1",3,"2,2"
19,"6,4","8,6","1,3",6,"7,5","8,6",6,"7,8"
20,"6,8","1,2","2,5","4,8",10,"7,3","2,5","4,6"
21,"6,5","2,7","4,3","1,5",8,"4,9",6,"8,8"
22,"6,8","4,9","4,3","2,2",5,"8,7",6,6
23,"8,3",5,1,"1,5",3,"8,6","6,8",6
24,"7,5","7,1","9,3","1,7","8,8","8,7","8,8","0,5"
25,6,"8,4","0,3","6,6",8,"8,6",3,"6,5"
26,"6,8","7,1","7,7","6,8","8,8","3,9",6,"1,8"
27,"8,8","2,8","6,8","7,6",9,6,"1,3","0,3"
28,"7,7","8,3","7,9","8,3","5,5","8,6",6,"4,2"
29,8,"6,3","2,5","6,8","8,5","7,1","7,2",7
30,"7,3","4,6",10,"9,4","9,5","6,5",6,7
31,"7,3","3,3","8,2",9,9,"9,9",7,"0,8"
32,6,"9,4","2,8","6,9","6,9","8,3","8,3",8
33,"6,8","8,7",1,4,9,"8,4","6,6","5,3"
34,"7,3","6,5","8,4","6,8","8,3","7,1",3,8
35,"6,8","6,4","8,5","6,3","9,8","8,6","1,8","1,3"
36,7,"7,9",10,"7,6",8,"9,7",3,"4,3"
37,"6,5","6,8",1,6,"7,5","8,8","7,5","6,5"
38,"4,5","2,6","6,5","8,3","8,3",7,"6,4","6,8"
39,"6,8","6,1","6,2","7,3","8,5","6,8",6,"7,3"
40,"8,2","6,7","3,9","8,8","9,6","9,7","7,8",9
41,4,"3,5","8,4","9,3","8,5","8,6","3,2","2,8"
42,"6,3","9,7",10,10,7,"7,5",9,"4,7"
43,7,"3,8",2,"6,5","8,9","8,5","6,4","7,2"
44,6,"7,7","1,8","3,3","9,3","8,2",6,"6,8"
45,"0,5",6,"6,3","9,4","9,5","8,6","1,5","5,2"
46,6,"4,6","9,4",6,"9,5","6,9","1,8","3,9"
47,6,"3,5","8,8",6,"9,5",9,"0,8","2,5"
48,8,"3,5","6,3","4,2",9,"9,5",8,"4,3"
49,7,"7,3","0,5","6,3","8,8",6,"4,7","0,8"
50,8,"9,7","2,3",8,"7,8","7,6","6,6","6,5"
51,"8,3","9,1","3,3",6,"9,5","7,5","8,2","5,1"
52,7,"9,8",10,"8,9","8,8","6,6","6,7",1
53,"6,8","7,4","0,8","7,4","9,3","7,1","8,3","6,9"
54,"6,5","8,8",1,"3,8",8,"7,2","2,3","3,5"
